amka,ID_tmhmatos
17019537542,7
09066167650,2
18114432106,7
18114432106,11
12016267995,15
12016267995,4
08119651767,8
19110834569,12
19110834569,6
03056595064,2
08088799158,8
16068589382,7
20039794570,6
20039794570,15
23026866049,6
28120467810,13
02078042045,14
02078042045,7
17078627586,6
17078627586,13
02087077516,12
09128084347,2
09128084347,3
15088743388,2
07109876453,1
07109876453,6
11087946135,8
06126222477,8
05068650481,14
06019165174,12
26099895344,6
07044341149,5
18020449145,4
26067425558,14
29109569303,1
29109569303,13
13060666813,12
03057873936,12
27099728378,7
27099728378,8
14024366361,15
16068107499,11
16068107499,9
19089017616,3
19089017616,2
23028627654,2
19029051436,6
19029051436,12
15124501431,8
10089737527,3
01090729354,14
01090729354,11
07100156298,2
02030634060,3
10094598570,6
28026692058,6
15089851983,2
13119759342,8
16040493179,15
16040493179,12
07034474162,6
29049732701,15
19075521849,15
19075521849,13
24100569128,14
06117882147,8
11100467158,1
22120477375,3
22115865680,10
22115865680,13
03037593592,10
03037593592,9
23056691943,15
23056691943,8
03049296161,10
03049296161,4
18118519593,10
24088546021,3
24088546021,12
16118595442,12
16118595442,13
04025648413,12
14129831939,1
21119438801,15
09045928947,5
15049291643,15
15049291643,12
31084428740,5
04010443316,11
05038348846,7
01024610365,3
17075032006,4
09050064807,14
21110456039,14
24024429583,4
24024429583,5
18060326718,13
18060326718,9
06050738238,12
06050738238,5
21017437016,8
21017437016,11
22048608378,8
18050675294,8
18050675294,14
16100868799,12
22018235970,11
22040585135,15
