ΑΜΚΑ,id_ουσίας  
35855300040,SUB_005
55033700092,SUB_010
85768600080,SUB_009
20138900079,SUB_001
40978800069,SUB_005
54913200084,SUB_009
93040200082,SUB_008
88953000066,SUB_009
28889400053,SUB_009
28889400053,SUB_001
75896100056,SUB_005
29141100041,SUB_001
34403300068,SUB_006
91806200078,SUB_009
21949000076,SUB_002
55804300048,SUB_003
75896100056,SUB_001
41381600052,SUB_002
13424800087,SUB_003
20138900079,SUB_009
17834500086,SUB_008
51178300099,SUB_009
10278100093,SUB_005
89468700061,SUB_003
69602400085,SUB_007
40859200088,SUB_003
96347300070,SUB_007
83153900097,SUB_007
88953000066,SUB_010
59711900074,SUB_004
